"","MUNIC_RES","ANO_MES_INTERNACAO","n_internacoes"
"920","280250","2020-02",1
"921","280270","2020-02",1
"922","280280","2020-02",1
"923","280290","2020-02",1
"924","280330","2020-02",1
"925","280340","2020-02",1
"926","280350","2020-02",5
"927","280360","2020-02",2
"928","280380","2020-02",1
"929","280400","2020-02",1
"930","280445","2020-02",1
"931","280450","2020-02",2
"932","280480","2020-02",6
"933","280530","2020-02",1
"934","280550","2020-02",1
"935","280570","2020-02",1
"936","280580","2020-02",1
"937","280590","2020-02",3
"938","280650","2020-02",1
"939","280670","2020-02",4
"940","280710","2020-02",3
"941","280740","2020-02",1
"942","280750","2020-02",1
"943","290860","2020-02",1
"944","291060","2020-02",2
"945","291790","2020-02",1
"946","350330","2020-02",1
"947","280010","2020-03",1
"948","280020","2020-03",8
"949","280030","2020-03",17
"950","280050","2020-03",1
"951","280060","2020-03",1
"952","280067","2020-03",2
"953","280120","2020-03",2
"954","280130","2020-03",2
"955","280200","2020-03",1
"956","280210","2020-03",4
"957","280270","2020-03",1
"958","280290","2020-03",1
"959","280330","2020-03",1
"960","280340","2020-03",1
"961","280350","2020-03",1
"962","280360","2020-03",1
"963","280370","2020-03",2
"964","280400","2020-03",1
"965","280430","2020-03",2
"966","280450","2020-03",1
"967","280460","2020-03",1
"968","280470","2020-03",1
"969","280480","2020-03",11
"970","280490","2020-03",1
"971","280540","2020-03",2
"972","280570","2020-03",1
"973","280590","2020-03",5
"974","280650","2020-03",3
"975","280670","2020-03",2
"976","280680","2020-03",1
"977","280720","2020-03",1
"978","280740","2020-03",1
"979","292700","2020-03",1
"980","280020","2020-04",9
"981","280030","2020-04",15
"982","280040","2020-04",2
"983","280067","2020-04",2
"984","280100","2020-04",1
"985","280130","2020-04",2
"986","280210","2020-04",1
"987","280250","2020-04",1
"988","280270","2020-04",1
"989","280280","2020-04",2
"990","280290","2020-04",1
"991","280300","2020-04",2
"992","280320","2020-04",1
"993","280350","2020-04",2
"994","280360","2020-04",1
"995","280390","2020-04",1
"996","280420","2020-04",1
"997","280430","2020-04",2
"998","280480","2020-04",11
"999","280490","2020-04",1
"1000","280500","2020-04",1
"1001","280520","2020-04",1
"1002","280560","2020-04",1
"1003","280570","2020-04",1
"1004","280670","2020-04",6
"1005","280680","2020-04",1
"1006","280710","2020-04",1
"1007","280720","2020-04",1
"1008","280740","2020-04",1
"1009","292420","2020-04",1
"1010","280020","2020-05",15
"1011","280030","2020-05",19
"1012","280050","2020-05",1
"1013","280067","2020-05",1
"1014","280130","2020-05",1
"1015","280150","2020-05",1
"1016","280200","2020-05",1
"1017","280210","2020-05",7
"1018","280260","2020-05",1
"1019","280280","2020-05",1
"1020","280290","2020-05",4
"1021","280300","2020-05",2
"1022","280330","2020-05",1
"1023","280350","2020-05",2
"1024","280360","2020-05",1
"1025","280380","2020-05",1
"1026","280450","2020-05",1
"1027","280480","2020-05",5
"1028","280520","2020-05",1
"1029","280560","2020-05",1
"1030","280570","2020-05",1
"1031","280580","2020-05",1
"1032","280590","2020-05",2
"1033","280630","2020-05",2
"1034","280650","2020-05",1
"1035","280670","2020-05",2
"1036","280710","2020-05",1
"1037","280750","2020-05",1
"1038","291790","2020-05",2
"1039","280010","2020-06",1
"1040","280020","2020-06",11
"1041","280030","2020-06",22
"1042","280067","2020-06",5
"1043","280100","2020-06",2
"1044","280120","2020-06",1
"1045","280130","2020-06",2
"1046","280170","2020-06",1
"1047","280210","2020-06",4
"1048","280240","2020-06",1
"1049","280280","2020-06",2
"1050","280290","2020-06",1
"1051","280300","2020-06",1
"1052","280320","2020-06",1
"1053","280350","2020-06",2
"1054","280360","2020-06",1
"1055","280450","2020-06",1
"1056","280470","2020-06",1
